Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,Run Line,,Open OU,,Close OU,
915,927,V,LAA,NTROPEANO-R,0,0,3,0,0,1,0,0,0,4,170,155,1.5,-140,7,-115,7,105
915,928,H,SEA,FHERNANDZ-R,1,0,0,1,0,0,1,0,0,3,-200,-175,-1.5,120,7,-105,7,-125
915,929,V,TOR,MBUEHRLE-L,0,1,0,0,0,1,0,0,0,2,-185,-147,-1.5,100,8,-120,7.5,-115
915,930,H,ATL,JTEHERAN-R,0,1,1,0,0,0,0,0,1,3,165,132,1.5,-120,8,100,7.5,-105
915,931,V,CUB,JHAMMEL-R,1,0,0,0,0,0,3,0,0,4,140,140,1.5,-160,7,-115,7,-130
915,932,H,PIT,GCOLE-R,3,0,0,1,0,0,0,1,x,5,-160,-155,-1.5,140,7,-105,7,110
916,951,V,WAS,GGONZALEZ-L,0,1,0,1,2,2,2,3,1,12,-185,-230,-1.5,-135,8.5,100,8.5,-110
916,952,H,PHI,AASHER-R,0,0,0,2,0,0,0,0,0,2,165,200,1.5,115,8.5,-120,8.5,-110
916,953,V,CUB,JARRIETA-R,0,0,0,0,0,2,0,0,0,3,-135,-146,-1.5,109,7,-110,7,-110
916,954,H,PIT,ABURNETT-R,0,0,0,0,0,1,0,1,0,2,115,131,1.5,-129,7,-110,7,-110
916,955,V,MIA,ACONLEY-L,0,0,0,1,1,1,0,1,2,6,195,175,1.5,-120,8,100,7.5,-120
916,956,H,NYM,BCOLON-R,0,0,0,0,0,0,0,0,0,0,-225,-195,-1.5,100,8,-120,7.5,100
916,957,V,STL,JGARCIA-L,0,2,1,2,0,0,0,0,0,5,-152,-183,-1.5,-115,7.5,-120,8,-105
916,958,H,MIL,WPERALTA-R,0,0,0,4,0,0,0,0,0,4,132,163,1.5,-105,7.5,100,8,-115
916,959,V,SDG,ACASHNER-R,0,0,0,1,3,0,0,0,0,4,100,117,1.5,-180,9,-105,9,-105
916,960,H,ARI,RRAY-L,0,0,0,2,0,1,0,0,0,3,-120,-132,-1.5,160,9,-115,9,-115
916,961,V,COL,DELAROSA-L,0,0,0,0,0,0,0,0,0,0,165,145,1.5,-160,7.5,100,7,-125
916,962,H,LOS,AWOOD-L,0,1,0,0,0,1,0,0,x,2,-185,-160,-1.5,140,7.5,-120,7,105
916,963,V,CIN,MLORENZEN-R,0,0,0,0,0,1,1,1,0,3,145,155,1.5,-140,7,-125,8,-105
916,964,H,SFO,JPEAVY-R,1,1,1,1,0,0,1,0,x,5,-165,-175,-1.5,120,7,105,8,-115
916,965,V,BOS,HOWENS-L,0,1,3,5,0,0,0,1,0,10,105,116,1.5,-180,9,-105,9,-110
916,966,H,BAL,MWRIGHT-R,0,0,0,0,0,0,0,0,1,1,-125,-131,-1.5,160,9,-115,9,-110
916,967,V,NYY,LSEVERINO-R,0,1,0,0,0,1,0,0,1,3,110,109,1.5,-200,7,-110,7,110
916,968,H,TAM,CARCHER-R,0,0,0,0,0,1,0,0,0,1,-130,-119,-1.5,170,7,-110,7,-130
916,969,V,KAN,DDUFFY-L,0,0,0,0,0,0,1,0,0,1,125,111,1.5,-201,7.5,-115,7.5,-115
916,970,H,CLE,DSALAZAR-R,1,3,0,1,0,0,0,0,x,5,-145,-121,-1.5,171,7.5,-105,7.5,-105
916,971,V,HOU,DKEUCHEL-L,0,0,0,0,0,1,0,2,0,3,-145,-171,-1.5,-109,8.5,-115,8.5,-120
916,972,H,TEX,MPEREZ-L,6,0,1,0,2,3,2,0,x,14,125,151,1.5,-111,8.5,-105,8.5,100
916,973,V,OAK,CMARTIN-R,0,1,0,0,0,2,0,0,1,4,100,135,1.5,-155,8.5,-110,9,-104
916,974,H,CWS,EJOHNSON-R,2,0,1,6,0,0,0,0,x,9,-120,-150,-1.5,135,8.5,-110,9,-116
916,975,V,DET,DNORRIS-L,2,0,0,0,0,0,0,0,2,7,140,151,1.5,-136,8.5,-115,9,-110
916,976,H,MIN,ESANTANA-R,0,0,1,0,0,0,2,0,1,4,-160,-171,-1.5,115,8.5,-105,9,-110
916,977,V,LAA,JWEAVER-R,0,0,0,0,0,1,0,0,0,1,115,129,1.5,-175,7,-125,7.5,-115
916,978,H,SEA,HIWAKUMA-R,0,0,0,3,0,0,0,0,x,3,-135,-144,-1.5,155,7,105,7.5,-105
916,979,V,TOR,DPRICE-L,4,0,0,1,2,0,0,0,2,9,-260,-240,-1.5,-143,7.5,-105,6.5,-120
916,980,H,ATL,SMILLER-R,1,0,0,0,0,0,0,0,0,1,220,200,1.5,123,7.5,-115,6.5,100
