bpid,mlbid,Name,Age,Team,WARP,DRA-,DRA,DRA SD,cFIP,G,GS,GR,IP,W,L,SV,ERA,RA9,FIP,WHIP,K%,BB%,K/BB,Whiff%
67148,592836,Taijuan Walker,24,ARI,1.2,93,4.35,0.47,95,28,28,0,157.3,9,9,0,3.49,4.35,4.04,1.33,21.3,8.9,2.4,21.7
70547,607188,Jake Faria,23,TB,1.2,98,4.61,0.66,102,16,14,2,86.7,5,4,0,3.43,3.63,4.12,1.18,23.5,8.7,2.7,29
57000,504379,Juan Nicasio,30,,1.2,88,4.12,0.52,91,76,0,76,72.3,5,5,6,2.61,2.74,2.98,1.08,24.7,6.9,3.6,24
58552,519151,Ryan Pressly,28,MIN,1.2,85,3.99,0.64,88,57,0,57,61.3,2,3,0,4.7,4.99,4.36,1.16,24.2,7.5,3.2,27.1
101231,623149,Paul Sewald,27,NYM,1.2,95,4.45,0.66,102,57,0,57,65.3,0,6,0,4.55,4.96,3.74,1.21,25.1,7.6,3.3,26.1
70485,605452,Joe Ross,24,WSH,1.1,105,4.94,0.85,105,13,13,0,73.7,5,3,0,5.01,5.38,4.99,1.47,21.1,6.2,3.4,23.4
69614,606131,Luis Perdomo,24,SD,1.1,117,5.48,0.6,102,29,29,0,163.7,8,11,0,4.67,5.33,4.4,1.51,16.5,9.1,1.8,21.6
52353,450729,Doug Fister,33,BOS,1.1,98,4.59,0.59,95,18,15,3,90.3,5,9,0,4.88,5.48,3.98,1.38,21.2,9.7,2.2,19.6
66930,592135,Cam Bedrosian,25,LAA,1.1,83,3.91,0.7,86,48,0,48,44.7,6,5,6,4.43,5.24,3.38,1.3,27.9,8.9,3.1,30.1
69637,606160,Rafael Montero,26,NYM,1.1,109,5.11,0.71,101,34,18,16,119,5,11,0,5.52,5.67,4.37,1.75,20.7,12.2,1.7,24.4
50199,502239,Trevor Cahill,29,,1.1,92,4.34,0.6,89,21,14,7,84,4,3,0,4.93,5.36,5.28,1.62,22.8,11.8,1.9,27.4
